dataset,shot,method,mean,std
ag_news,4,augmented,59.368421052631575,5.8750773555348195
ag_news,4,random_aug,56.72368421052632,7.408560781500385
ag_news,4,vanilla,78.06842105263158,1.699137185313543
ag_news,8,augmented,74.28421052631579,2.3657075098499987
ag_news,8,random_aug,71.43684210526317,4.936985184774351
ag_news,8,vanilla,83.71578947368421,0.8529624926398668
ag_news,16,augmented,82.0578947368421,1.5527876817155448
ag_news,16,random_aug,82.56052631578947,0.903287317435228
ag_news,16,vanilla,85.55,0.9125737552251656
sst2,4,augmented,63.50356946732564,1.5001917575874293
sst2,4,random_aug,65.7001647446458,4.2792401926191665
sst2,4,vanilla,58.5612300933553,4.6880072761655205
sst2,8,augmented,66.52388797364085,2.630359789169016
sst2,8,random_aug,68.68753432180121,5.448956658681734
sst2,8,vanilla,64.2284459088413,5.173902873739628
sst2,16,augmented,68.73146622734761,1.5998996362113218
sst2,16,random_aug,70.55464030752334,1.3921761973377962
sst2,16,vanilla,69.18176825919824,3.5655366352419207
trec,4,augmented,71.44,4.327585932133524
trec,4,random_aug,49.919999999999995,9.128636261786312
trec,4,vanilla,61.04,8.674560507599216
trec,8,augmented,78.88,1.652876280911548
trec,8,random_aug,64.24,6.345707210390347
trec,8,vanilla,73.04,4.541805808266137
trec,16,augmented,82.72,1.700588133558499
trec,16,random_aug,76.96,4.0159681273635695
trec,16,vanilla,80.24000000000001,1.4099645385611597
